uniprot_id,protein_name,organism,classification,n_entries,pdb_codes
P00918,CARBONIC ANHYDRASE II,Homo sapiens,LYASE(OXO-ACID),366,"1a42,1bcd,1bn1,1bn3,1bn4,1bnn,1bnq,1bnt,1bnu,1bnv,1bnw,1cil,1cim,1cin,1cnw,1cnx,1cny,1eou,1g1d,1g45,1g46,1g48,1g4j,1g4o,1g52,1g53,1g54,1i8z,1i90,1i91,1i9l,1i9m,1i9n,1i9o,1i9p,1i9q,1if7,1if8,1kwr,1okl,1oq5,1ttm,1xpz,1xq0,1yda,1ydb,1ydd,1z9y,1ze8,1zfk,1zfq,1zge,2aw1,2f14,2fou,2fov,2gd8,2h15,2h4n,2hd6,2hl4,2hnc,2hoc,2nng,2nno,2nns,2nnv,2o4z,2osm,2pou,2pov,2pow,2q1q,2q38,2qo8,2qoa,2qp6,2wd3,2weg,2weh,2wej,2weo,2x7s,2x7t,2x7u,3b4f,3bet,3bl0,3bl1,3c7p,3caj,3cyu,3d8w,3d9z,3daz,3dbu,3dc3,3dcc,3dcs,3dcw,3dd0,3dd8,3eft,3f8e,3ffp,3hkn,3hkq,3hkt,3hku,3hs4,3ibi,3ibl,3ibn,3ibu,3ieo,3igp,3k2f,3kig,3m1k,3m3x,3m40,3m5e,3m67,3m96,3mhc,3mhi,3mhl,3mhm,3mho,3ml2,3mmf,3mna,3mnu,3myq,3mzc,3n0n,3n2p,3n3j,3n4b,3nb5,3ni5,3oil,3oim,3oku,3okv,3oy0,3oyq,3oys,3p3h,3p3j,3p44,3p4v,3p55,3p58,3p5l,3po6,3r16,3r17,3rj7,3ryj,3ryv,3ryx,3ryy,3ryz,3rz0,3rz1,3rz5,3rz7,3rz8,3s71,3s72,3s73,3s74,3s75,3s76,3s77,3s78,3s8x,3s9t,3sap,3sax,3sbh,3sbi,3t5u,3t82,3t83,3t84,3t85,3v5g,3v7x,3vbd,3zp9,4bf1,4bf6,4cq0,4e3h,4e49,4g0c,4ht0,4itp,4iwz,4kni,4knj,4lp6,4m2r,4m2u,4m2v,4m2w,4mo8,4pyx,4pyy,4q06,4q07,4q08,4q09,4q6d,4q6e,4q99,4q9y,4qiy,4qjm,4qtl,4qy3,4r59,4r5a,4r5b,4rfc,4rfd,4riu,4riv,4rn4,4rux,4ruy,4ruz,4ww6,4xe1,4yx4,4yxi,4yxo,4yxu,4yyt,4z0q,4z1e,4z1j,4z1k,4zwx,4zwz,4zx0,4zx1,5a6h,5amd,5amg,5aml,5byi,5doh,5drs,5e28,5e2k,5e2r,5e2s,5eh5,5ehe,5eij,5ekh,5ekj,5ekm,5fdc,5fdi,5j8z,5ljq,5ljt,5ll4,5llc,5lle,5llg,5llh,5mjn,5n0d,5n0e,5n1r,5n1s,5n24,5n25,5nea,5nee,5nxg,5nxi,5nxo,5nxp,5nxv,5nxw,5ny1,5ny3,5ny6,5nya,5o07,5sz0,5sz1,5sz2,5sz3,5sz4,5sz5,5sz6,5sz7,5tfx,5txy,5ty1,5ty8,5ty9,5u0e,5u0f,5uln,5wex,5wgp,5wlt,5wlv,6b4d,6b59,6b5a,6bbs,6bc9,6c7w,6c7x,6ceh,6cjv,6d1l,6d1m,6e8x,6e91,6e92,6ebe,6ecz,6eda,6eea,6eeh,6eeo,6equ,6g3q,6g6t,6got,6gxb,6h29,6h2z,6h33,6h34,6h3q,6hx5,6ic2,6odz,6oe0,6oe1,6pgx,6qfu,6qfv,6qfw,6qfx,6ql1,6ql2,6ql3,6ugn,6ugo,6ugp,6ugq,6ugr,6ugz,6uh0"
P56817,MEMAPSIN 2,Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,267,"1fkn,1m4h,1tqf,1xn3,1ym2,1ym4,2b8l,2b8v,2f3e,2f3f,2fdp,2g94,2hiz,2hm1,2iqg,2irz,2is0,2oah,2oht,2ohu,2p4j,2p83,2p8h,2ph6,2ph8,2q11,2q15,2qk5,2qmd,2qmf,2qmg,2qp8,2qu3,2qzk,2qzl,2va6,2va7,2vie,2viy,2viz,2vj6,2vj7,2vj9,2vkm,2vnm,2vnn,2wez,2wf0,2wf1,2wf2,2wf3,2wf4,2xfi,2xfj,2xfk,2zdz,2ze1,3cib,3cic,3cid,3ckp,3duy,3dv1,3dv5,3fkt,3i25,3in3,3in4,3ind,3ine,3inf,3inh,3ivh,3ivi,3ixj,3ixk,3k5c,3k5f,3k5g,3l38,3l3a,3l58,3l5c,3l5e,3l5f,3lhg,3lnk,3lpi,3lpj,3lpk,3msl,3nsh,3ohf,3ohh,3ooz,3pi5,3qbh,3qi1,3rsv,3s7l,3s7m,3tpp,3u6a,3udn,3udp,3udy,3ufl,3uqp,3veu,3vf3,3vg1,3vv7,3zmg,3zov,4acu,4acx,4azy,4b00,4b05,4b1c,4b1d,4b70,4b72,4b77,4b78,4bfd,4d83,4d88,4d89,4d8c,4dh6,4di2,4dju,4djv,4djw,4djx,4djy,4dpf,4dpi,4dus,4dv9,4dvf,4ewo,4exg,4fgx,4fm7,4fm8,4fri,4frj,4frk,4frs,4fs4,4fsl,4gid,4h1e,4h3f,4h3g,4h3i,4h3j,4ha5,4hzt,4i0d,4i0f,4i0z,4i10,4i12,4i1c,4ivt,4j0p,4j0t,4j0v,4j0y,4j0z,4j17,4j1c,4j1e,4j1f,4j1h,4j1i,4j1k,4jp9,4jpc,4jpe,4k8s,4k9h,4ke0,4ke1,4lxa,4lxk,4lxm,4n00,4pzw,4pzx,4r5n,4r8y,4r91,4r92,4r93,4r95,4rcd,4rce,4rcf,4rrn,4rro,4rrs,4wtu,4wy1,4wy6,4x7i,4xkx,4xxs,4ybi,4zpe,4zpf,4zpg,4zsp,4zsq,5dqc,5enk,5enm,5ezx,5ezz,5f00,5f01,5hd0,5hdu,5hdv,5hdx,5hdz,5he4,5he5,5he7,5htz,5hu0,5hu1,5i3v,5i3w,5i3x,5i3y,5ie1,5kqf,5kr8,5t1u,5uyu,5v0n,6bfd,6bfe,6bfw,6bfx,6e3z,6ej2,6ej3,6eqm,6fgy,6jse,6jsf,6jsg,6jt3,6nv7,6nv9,6nw3,6od6,6pz4,6uvv,6uvy,6uwp,6uwv"
P24941,CYCLIN-DEPENDENT PROTEIN KINASE 2,Homo sapiens,PROTEIN KINASE,164,"1aq1,1b38,1b39,1di8,1dm2,1e1x,1e9h,1fvt,1h07,1h1q,1h1r,1h1s,1jsv,1jvp,1ke5,1ke6,1ke7,1ke8,1ke9,1oi9,1oiq,1oir,1oiu,1oiy,1p2a,1pxl,1pxn,1pxo,1pxp,1pye,1r78,1vyw,1vyz,1w0x,1y91,1ykr,2a0c,2a4l,2b52,2b53,2b54,2b55,2bpm,2btr,2bts,2c5n,2c5o,2c5y,2c68,2c6k,2c6l,2c6m,2c6o,2ds1,2duv,2fvd,2g9x,2iw6,2iw8,2iw9,2r3f,2r3g,2r3i,2r3j,2r3k,2r3l,2r3m,2r3n,2r3o,2r3p,2r64,2uue,2uzl,2uzn,2vti,2vtj,2vtn,2vto,2vtp,2vtq,2vtr,2vts,2vtt,2vu3,2vv9,2w05,2w06,2w17,2w1h,2wev,2wih,2xmy,2xnb,3ddq,3ezr,3ezv,3fz1,3ig7,3igg,3le6,3lfn,3lfs,3ns9,3pj8,3pxy,3pxz,3py0,3py1,3qtq,3qtr,3qts,3qtu,3qtw,3qtx,3qtz,3qu0,3qxp,3r8u,3r8v,3r9n,3rah,3rak,3ral,3rjc,3rk5,3rk7,3rk9,3rkb,3rni,3rpv,3rpy,3s2p,3sqq,3uli,4acm,4bck,4bcm,4bcn,4bco,4bcp,4bcq,4bgh,4cfw,4eoi,4eol,4eon,4eop,4eor,4erw,4gcj,4lyn,4nj3,4rj3,5a14,5d1j,5jq5,5k4j,5lmk,5mhq,6guc,6gue,6guh,6guk,6gva"
O60885,Bromodomain-containing protein 4,Homo sapiens,CELL CYCLE,148,"2yel,2yem,3mxf,3p5o,3u5j,3u5l,3uvw,3zyu,4bjx,4bw1,4bw2,4bw3,4bw4,4cfl,4cl9,4clb,4e96,4f3i,4hbw,4hbx,4hby,4hxl,4hxm,4hxr,4hxs,4j0r,4j0s,4j3i,4lyw,4mep,4mr3,4mr4,4nuc,4nue,4o72,4o74,4o76,4o77,4o78,4o7c,4o7e,4ogi,4ogj,4pce,4pci,4ps5,4qb3,4qr3,4qr4,4qr5,4qzs,4uix,4uiy,4wiv,4x2i,4xy9,4xya,4z1q,4z1s,4z93,5a5s,5a85,5acy,5cp5,5cqt,5cy9,5d0c,5d24,5d25,5d26,5d3h,5d3j,5d3l,5d3n,5d3p,5d3s,5dlx,5dlz,5dw2,5dx4,5egu,5eis,5f5z,5f60,5f61,5f62,5f63,5h21,5hls,5hm0,5i80,5i88,5igk,5khm,5kj0,5lj2,5lrq,5luu,5m3a,5u28,5u2e,5ueu,5uex,5uey,5uez,5ula,5uoo,5vom,5wa5,5wmg,5wuu,5y1y,5y8c,5y8w,5y8y,5y8z,5y93,5y94,5yov,5yqx,5z1r,5z1s,5z1t,5z5v,6afr,6ajv,6ajx,6ajy,6c7q,6cd4,6cd5,6cis,6ciy,6cj1,6ckr,6cks,6djc,6dl2,6e4a,6fo5,6fsy,6ft3,6ft4,6hdq,6mh1,6mh7,6q3y,6q3z"
P07900,HEAT SHOCK PROTEIN 90,Homo sapiens,CHAPERONE PROTEIN,139,"1uyi,1yc1,1yc4,1yet,2byh,2byi,2bz5,2ccs,2cct,2fwy,2fwz,2qg0,2qg2,2uwd,2vci,2vcj,2wi4,2wi5,2wi6,2wi7,2xab,2xdx,2xhr,2xht,2xjg,2xjj,2xjx,2ye9,2yi0,2yi5,2yi7,2yjw,2yjx,2yk9,2ykb,2ykc,2yke,2yki,2ykj,3b25,3b26,3b27,3b28,3bm9,3bmy,3d0b,3eko,3ekr,3ft8,3hek,3hhu,3k97,3k99,3ow6,3owb,3owd,3qdd,3qtf,3r4m,3r4n,3r4p,3r91,3r92,3rkz,3rlp,3rlq,3rlr,3vha,3vhc,3vhd,3wha,4awo,4awp,4awq,4b7p,4bqg,4cwn,4cwo,4cwp,4cwq,4cwr,4cws,4cwt,4efu,4egk,4fcq,4fcr,4jql,4lwe,4lwh,4lwi,4nh7,4nh8,4o04,4o05,4o07,4o09,4o0b,4u93,4w7t,4xip,4xiq,4xir,4xit,5ggz,5j20,5j27,5j2x,5j64,5j6l,5j6m,5j6n,5j82,5j86,5j8m,5j8u,5j9x,5lny,5lo5,5lo6,5nyh,5oci,5odx,5vyy,5zr3,6ei5,6el5,6eln,6elo,6elp,6ey8,6ey9,6eya,6eyb,6f1n,6fcj,6hhr,6n8x,6olx"
Q16539,PROTEIN (MAP KINASE P38),Homo sapiens,TRANSFERASE,115,"1a9u,1bl6,1bl7,1bmk,1kv1,1m7q,1ouk,1ouy,1ove,1w82,1w83,1wbn,1wbs,1wbt,1yqj,1zyj,1zz2,1zzl,2baj,2bak,2bal,2gfs,2i0h,2qd9,2rg5,2rg6,2y8o,2yis,2yiw,2yix,2zaz,2zb0,2zb1,3bv2,3bx5,3ctq,3d7z,3d83,3e92,3e93,3fc1,3gc7,3gcp,3gcq,3gcs,3gcu,3gcv,3gfe,3heg,3hl7,3hll,3hp2,3hp5,3hrb,3hub,3huc,3hv3,3hv5,3hv6,3hv7,3hvc,3iph,3itz,3iw5,3iw6,3k3i,3kf7,3l8s,3l8x,3mpt,3mvm,3nnu,3nnv,3nnw,3nnx,3nww,3o8p,3ocg,3rin,3roc,3s3i,3s4q,3u8w,3uvp,3uvq,3zya,4aa0,4aa4,4aa5,4aac,4dli,4f9w,4f9y,4kin,4kip,4kiq,4l8m,4r3c,5ml5,5mtx,5mty,5mz3,5tbe,5tco,5wjj,5xyy,6anl,6hwu,6hwv,6m95,6m9l,6ohd,6sfi,6sfj,6sfk"
P00734,ALPHA-THROMBIN (LARGE SUBUNIT),Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,109,"1a2c,1a4w,1bhx,1c1u,1c1v,1c4u,1c4v,1d3d,1d3p,1d4p,1d6w,1d9i,1eb1,1eoj,1eol,1fpc,1g30,1g32,1ghy,1jwt,1k21,1k22,1ktt,1mu6,1mu8,1mue,1nm6,1nt1,1nzq,1o0d,1o2g,1oyt,1qbv,1riw,1sb1,1sl3,1t4v,1ta2,1ta6,1thr,1ths,1tmb,1tom,1vr1,1vzq,1w7g,1ype,1ypg,1ypj,1z71,1zgi,1zgv,2a2x,2ank,2anm,2bdy,2bxt,2c8w,2c8x,2cf8,2cf9,2cn0,2feq,2fes,2gde,2jh0,2jh5,2jh6,2r2m,2zc9,2zda,2zfp,2zgx,2zo3,3bv9,3c1k,3da9,3dhk,3dux,3f68,3sha,3shc,3tu7,3utu,4ax9,4bah,4bak,4bam,4ban,4bao,4baq,4e7r,4hfp,4loy,4lxb,4ufd,4ufe,4uff,4ufg,4yes,5jfd,5jzy,5lce,5lpd,6eo8,6eo9,6gbw,6gwe,6rot"
Q9H2K2,Tankyrase-2,Homo sapiens,TRANSFERASE,107,"3kr8,3twr,3tws,3twu,3tww,3twx,3ua9,4avu,4avw,4bfp,4bj9,4bjb,4bjc,4bs4,4hki,4hkk,4hkn,4hl5,4hlf,4hlg,4hlh,4hlk,4hlm,4hmh,4iue,4j21,4j22,4j3l,4j3m,4kzl,4kzq,4kzu,4l09,4l0b,4l0i,4l0s,4l0t,4l0v,4l10,4l2f,4l2g,4l2k,4l31,4l32,4l33,4l34,4m7b,4pnl,4pnm,4pnq,4pnr,4pnt,4tju,4tjw,4tjy,4tk0,4tk5,4tkg,4tki,4ufu,4ufy,4uhg,4ui3,4ui4,4ui5,4ui6,4ui7,4ui8,4uvu,4uvv,4uvw,4uvx,4uvy,4ux4,4z68,5adq,5adr,5ads,5adt,5aeh,5aku,5akw,5al2,5al4,5al5,5dcz,5nob,5nsp,5nsx,5nt0,5nt4,5nut,5nvc,5nve,5nvf,5nvh,5nwb,5nwc,5nwd,5nwg,5ows,5owt,5zqo,5zqp,5zqq,5zqr,6a84"
P00760,TRYPSIN,Bos taurus,HYDROLASE/hydrolase inhibitor,103,"1aq7,1bjv,1c1r,1c5q,1c5s,1eb2,1f0t,1f0u,1g36,1g3b,1g3c,1g3d,1g3e,1gi1,1gi4,1gi6,1gj6,1k1i,1k1j,1k1l,1k1m,1k1n,1k1o,1k1p,1o2h,1o2j,1o2k,1o2n,1o2o,1o2q,1o2r,1o2s,1o2t,1o2u,1o2v,1o2w,1o2x,1o2y,1o2z,1o30,1o32,1o33,1o34,1o35,1o36,1o37,1o38,1o39,1o3b,1o3c,1o3d,1o3e,1o3f,1o3g,1o3h,1o3i,1o3j,1o3k,1o3l,1oyq,1ppc,1pph,1qb1,1qb6,1qb9,1qbn,1qbo,1ql7,1sfi,1tps,1v2k,1v2n,1xug,1y3v,1y3w,1y3x,1y3y,1yp9,2zdk,2zdl,2zdm,2zdn,2zfs,2zft,2zhd,2zq1,2zq2,3aau,3aav,3gy2,3gy3,3gy4,3ljj,3ljo,3m35,4ktu,4u2w,5eg4,5lgo,5lh4,5lh8,6bfp,6bvh"
P03366,HIV-1 PROTEASE,Human immunodeficiency virus 1,HYDROLASE(ACID PROTEINASE),101,"1a9m,1ajv,1ajx,1d4h,1d4i,1d4j,1ebw,1eby,1ebz,1ec0,1ec1,1ec2,1ec3,1g35,1gnm,1gnn,1gno,1hbv,1hef,1heg,1hih,1hos,1hps,1htf,1htg,1hvi,1hvk,1mes,1met,1meu,1npa,1npv,1npw,1sbg,1w5v,1w5w,1w5x,1w5y,1zp8,1zpa,1zsf,1zsr,2aqu,2bbb,2be2,2hb3,2hs1,2hs2,2i4d,2i4u,2i4v,2i4w,2i4x,2idw,2ieo,2uxz,2uy0,3nu3,3nu4,3nu5,3nu6,3nu9,3nuj,3nuo,3ok9,3qaa,3tkw,3tlh,3zps,3zpt,3zpu,4cp7,4cpq,4cpr,4cps,4cpt,4cpu,4cpw,4cpx,4qag,4u8w,4ye3,4yhq,4zip,4zls,5bry,5bs4,5jfp,5jfu,5jg1,5ult,5uov,5upz,6c0n,6c0r,6c8x,6duf,6dug,6duh,6o48,6prf"
