pocket_id,uniprot_id,protein_name,organism,classification,n_ligands,pdb_codes,MW_mean,MW_std,MW_median,MW_min,MW_max,MW_count,logP_mean,logP_std,logP_median,logP_min,logP_max,logP_count,HBD_mean,HBD_std,HBD_median,HBD_min,HBD_max,HBD_count,HBA_mean,HBA_std,HBA_median,HBA_min,HBA_max,HBA_count,TPSA_mean,TPSA_std,TPSA_median,TPSA_min,TPSA_max,TPSA_count,rotatable_bonds_mean,rotatable_bonds_std,rotatable_bonds_median,rotatable_bonds_min,rotatable_bonds_max,rotatable_bonds_count,formal_charge_mean,formal_charge_std,formal_charge_median,formal_charge_min,formal_charge_max,formal_charge_count,aromatic_rings_mean,aromatic_rings_std,aromatic_rings_median,aromatic_rings_min,aromatic_rings_max,aromatic_rings_count,fsp3_mean,fsp3_std,fsp3_median,fsp3_min,fsp3_max,fsp3_count
A0A024E3Q2_1,A0A024E3Q2,Neuraminidase,Influenza A virus,HYDROLASE,4,"4mwq,4mwr,4mwu,4mwv",324.3674999999996,26.6752301145964,331.37099999999964,286.3719999999995,348.35599999999965,4,-4.378799999999997,2.6434016985694795,-4.747549999999996,-6.8554,-1.1646999999999967,4,5.0,2.160246899469287,5.5,2.0,7.0,4,5.5,1.7320508075688772,5.5,4.0,7.0,4,163.445,43.7680861663686,172.445,106.1,202.79,4,8.25,0.9574271077563381,8.5,7.0,9.0,4,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,4,0.7940934065934065,0.04680633967707045,0.7846153846153847,0.75,0.8571428571428571,4
A0A024UZE1_1,A0A024UZE1,Apical membrane antigen 1,Plasmodium falciparum Vietnam Oak-Knoll (FVO),CELL INVASION,3,"4z0d,4z0e,4z0f",1512.9563333333351,61.7796085883796,1477.7830000000015,1476.7950000000014,1584.2910000000022,3,-8.972366666666685,0.5647890343600279,-8.999500000000024,-9.523100000000015,-8.394500000000017,3,18.666666666666668,1.1547005383792515,18.0,18.0,20.0,3,21.0,1.0,21.0,20.0,22.0,3,587.7733333333332,33.463311750831444,575.2599999999999,562.3699999999998,625.6899999999998,3,21.666666666666668,2.886751345948129,20.0,20.0,25.0,3,1.0,0.0,1.0,1.0,1.0,3,2.0,0.0,2.0,2.0,2.0,3,0.636950385337482,0.0074076149746602595,0.6349206349206349,0.6307692307692307,0.6451612903225806,3
A0A024V0B1_1,A0A024V0B1,M17 family aminopeptidase,Plasmodium falciparum Vietnam Oak-Knoll (FVO),HYDROLASE,3,"4zy0,4zy1,5cbm",301.66799999999984,51.51866156064202,330.38799999999964,242.1910000000001,332.42499999999967,3,1.2084333333333344,2.267025022652669,1.7958999999999994,-1.2944999999999984,3.1239000000000017,3,2.3333333333333335,1.1547005383792515,3.0,1.0,3.0,3,4.0,0.0,4.0,4.0,4.0,3,94.19333333333333,14.842258363649837,96.25,78.42999999999999,107.9,3,5.333333333333333,0.5773502691896258,5.0,5.0,6.0,3,-0.3333333333333333,0.5773502691896257,0.0,-1.0,0.0,3,1.6666666666666667,0.5773502691896257,2.0,1.0,2.0,3,0.31568627450980385,0.0323974738075653,0.3,0.2941176470588235,0.3529411764705882,3
A0A067Y7N7_1,A0A067Y7N7,Neuraminidase,Influenza A virus,HYDROLASE,3,"4mwx,4mwy,4mx0",337.03266666666633,10.242713133410193,334.32899999999967,328.4129999999996,348.35599999999965,3,-5.450166666666664,1.8958901875724086,-6.201299999999997,-6.8554,-3.2937999999999947,3,6.0,1.0,6.0,5.0,7.0,3,6.0,1.7320508075688772,7.0,4.0,7.0,3,182.55999999999997,26.099208800268254,191.79,153.1,202.79,3,8.666666666666666,0.5773502691896257,9.0,8.0,9.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.7730769230769231,0.02522091740116156,0.7692307692307693,0.75,0.8,3
A0A078SUX9_1,A0A078SUX9,"Glycosyl hydrolases family 2, sugar binding domain protein",Bacteroides uniformis str. 3978 T3 ii,HYDROLASE,1,6d50,191.11500000000004,0.0,191.11500000000004,191.11500000000004,191.11500000000004,1,-4.255599999999997,0.0,-4.255599999999997,-4.255599999999997,-4.255599999999997,1,3.0,0.0,3.0,3.0,3.0,1,7.0,0.0,7.0,7.0,7.0,1,127.12,0.0,127.12,127.12,127.12,1,4.0,0.0,4.0,4.0,4.0,1,-1.0,0.0,-1.0,-1.0,-1.0,1,0.0,0.0,0.0,0.0,0.0,1,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
A0A083ZM57_1,A0A083ZM57,Periplasmic alpha-galactoside-binding protein,Agrobacterium tumefaciens,TRANSPORT PROTEIN,3,"6epy,6epz,6eq8",396.34399999999977,93.61214999667516,342.2969999999997,342.2969999999997,504.43799999999976,3,-6.32633333333333,1.1210025929199936,-6.010399999999992,-7.571400000000004,-5.397199999999992,3,9.333333333333334,1.5275252316519468,9.0,8.0,11.0,3,12.666666666666666,2.886751345948129,11.0,11.0,16.0,3,219.58,42.876071415184455,200.53,189.53,268.67999999999995,3,14.333333333333334,4.041451884327381,12.0,12.0,19.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,1.0,1.0,1.0,3
A0A087WNH6_1,A0A087WNH6,Adenosylhomocysteinase,Bradyrhizobium elkanii,HYDROLASE,1,6exi,267.2449999999998,0.0,267.2449999999998,267.2449999999998,267.2449999999998,1,-1.979999999999998,0.0,-1.979999999999998,-1.979999999999998,-1.979999999999998,1,4.0,0.0,4.0,4.0,4.0,1,8.0,0.0,8.0,8.0,8.0,1,139.54000000000002,0.0,139.54000000000002,139.54000000000002,139.54000000000002,1,6.0,0.0,6.0,6.0,6.0,1,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,2.0,2.0,2.0,1,0.5,0.0,0.5,0.5,0.5,1
A0A093VKV7_1,A0A093VKV7,Envelope glycoprotein,Talaromyces marneffei PM1,LIPID BINDING PROTEIN,2,"5csd,5fb7",303.4659999999994,0.0,303.4659999999994,303.4659999999994,303.4659999999994,2,4.882000000000004,0.0,4.882000000000004,4.882000000000004,4.882000000000004,2,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,2.0,2.0,2.0,2,40.13,0.0,40.13,40.13,40.13,2,14.0,0.0,14.0,14.0,14.0,2,-1.0,0.0,-1.0,-1.0,-1.0,2,0.0,0.0,0.0,0.0,0.0,2,0.55,0.0,0.55,0.55,0.55,2
A0A0B4WYC6_1,A0A0B4WYC6,NS3 protease,Hepacivirus hominis,HYDROLASE/HYDROLASE Inhibitor,3,"6cvw,6cvx,6cvy",771.0643333333352,14.504195576912684,775.3250000000016,754.9070000000019,782.961000000002,3,3.8246733333333367,0.4090850768890665,3.783000000000003,3.4380200000000034,4.253000000000004,3,3.0,0.0,3.0,3.0,3.0,3,11.0,0.0,11.0,11.0,11.0,3,195.22,0.0,195.22,195.22,195.22,3,12.333333333333334,0.5773502691896257,12.0,12.0,13.0,3,0.0,0.0,0.0,0.0,0.0,3,2.0,0.0,2.0,2.0,2.0,3,0.6245861245861245,0.015176000242874825,0.6216216216216216,0.6111111111111112,0.6410256410256411,3
A0A0D2ILK1_1,A0A0D2ILK1,Lactonase for protein,Rhinocladiella mackenziei CBS 650.93,HYDROLASE,2,"5xo7,5z7j",320.3849999999996,0.0,320.3849999999996,320.3849999999996,320.3849999999996,2,3.371400000000002,0.0,3.371400000000002,3.371400000000002,3.371400000000002,2,3.0,0.0,3.0,3.0,3.0,2,5.0,0.0,5.0,5.0,5.0,2,86.99000000000001,0.0,86.99000000000001,86.99000000000001,86.99000000000001,2,3.0,0.0,3.0,3.0,3.0,2,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,1.0,1.0,1.0,2,0.5,0.0,0.5,0.5,0.5,2
