uniprot_id,protein_name,n_entries,n_assigned,n_dropped,n_pockets,pocket_sizes
P00720,"C-X-C chemokine receptor type 4, Lysozyme Chimera",10,10.0,0.0,7,"[4, 1, 1, 1, 1, 1, 1]"
P0AEX9,D-MALTODEXTRIN BINDING PROTEIN,13,13.0,0.0,4,"[5, 6, 1, 1]"
P00918,CARBONIC ANHYDRASE II,366,366.0,0.0,4,"[362, 2, 1, 1]"
P00489,PROTEIN (GLYCOGEN PHOSPHORYLASE),38,38.0,0.0,4,"[3, 25, 4, 6]"
P52293,Importin alpha-2 Subunit,11,11.0,0.0,3,"[9, 1, 1]"
Q9GK12,Peptidoglycan recognition protein 1,7,7.0,0.0,3,"[3, 3, 1]"
Q16539,PROTEIN (MAP KINASE P38),115,115.0,0.0,3,"[113, 1, 1]"
P41182,B-cell lymphoma 6 protein,9,9.0,0.0,3,"[2, 6, 1]"
O92972,RNA-directed RNA polymerase,25,25.0,0.0,3,"[13, 11, 1]"
P10275,ANDROGEN RECEPTOR,22,22.0,0.0,3,"[2, 19, 1]"
Q8NBP7,Proprotein convertase subtilisin/kexin type 9,4,4.0,0.0,3,"[2, 1, 1]"
P10844,BOTULINUM NEUROTOXIN TYPE B,6,6.0,0.0,3,"[4, 1, 1]"
Q06124,Tyrosine-protein phosphatase non-receptor type 11,8,8.0,0.0,3,"[5, 2, 1]"
P34913,"epoxide hydrolase 2, cytoplasmic",47,47.0,0.0,3,"[2, 2, 43]"
P12931,C-SRC TYROSINE KINASE SH2 DOMAIN,16,14.0,2.0,3,"[12, 1, 1]"
P26663,HEPATITIS C VIRUS NS5B RNA-DEPENDENT RNA POLYMERASE,43,40.0,3.0,3,"[24, 2, 14]"
P02768,SERUM ALBUMIN,4,4.0,0.0,3,"[2, 1, 1]"
P00734,ALPHA-THROMBIN (LARGE SUBUNIT),109,109.0,0.0,3,"[103, 2, 4]"
P61964,WD-repeat protein 5,34,34.0,0.0,2,"[8, 26]"
Q05397,Focal adhesion kinase 1,9,8.0,1.0,2,"[5, 3]"
Q7KQK0,"CAMP-dependent protein kinase regulatory subunit, putative",3,3.0,0.0,2,"[2, 1]"
Q05097,PA-I galactophilic lectin,8,8.0,0.0,2,"[6, 2]"
